year,optionsRealized
1965,19.9
1966,21.1
1967,22.3
1968,23.5
1969,23.2
1970,23
1971,22.7
1972,22.4
1973,22.2
1974,23.5
1975,24.9
1976,26.4
1977,28
1978,29.7
1979,31.6
1980,33.6
1981,35.7
1982,37.9
1983,40.3
1984,42.9
1985,45.5
1986,48.4
1987,51.5
1988,54.7
1989,58.1
1990,70.4
1991,85.2
1992,103.2
1993,114.4
1994,86.5
1995,120.6
1996,154.1
1997,225.2
1998,294.8
1999,265.6
2000,368.1
2001,210.4
2002,186.4
2003,228.7
2004,265
2005,320.1
2006,342.2
2007,345.9
2008,237.8
2009,195.3
2010,225.1
2011,233
2012,275.7
2013,290.5
2014,296.4
2015,284.3
2016,262.6
2017,280.8
2018,278.1
